	WC2.2
D2Mit253	WC2.32
D2Mit255	WC2.40
D2Mit259	WC2.44
D2Mit261	WC2.45
D2Mit262	WC2.48
D2Mit265	WC2.54
D2Mit266	WC2.55
D2Mit267	WC2.7
D2Mit268	WC2.12
D2Mit269	WC2.16
D2Mit27.1	WC2.48
D2Mit270	WC2.19
D2Mit275	WC2.38
D2Mit276	WC2.40
D2Mit277	WC2.40
D2Mit278	WC2.40
D2Mit281	WC2.45
D2Mit282.1	WC2.45
D2Mit283	WC2.45
D2Mit286	WC2.48
D2Mit287	WC2.49
D2Mit290.4	WC2.50
D2Mit295	WC2.11
D2Mit3	WC2.2
D2Mit300	WC2.30
D2Mit301	WC2.35
D2Mit304	WC2.40
D2Mit305.1	WC2.40
D2Mit306	WC2.42
D2Mit308	WC2.44
D2Mit309	WC2.46
D2Mit312	WC2.1
D2Mit314S	WC2.2
D2Mit315	WC2.3
D2Mit316	WC2.5
D2Mit317	WC2.6
D2Mit318	WC2.9
D2Mit321	WC2.14
D2Mit323	WC2.19
D2Mit324	WC2.21
D2Mit328	WC2.23
D2Mit329	WC2.25
D2Mit33	WC2.12
D2Mit330	WC2.26
D2Mit332	WC2.27
D2Mit333	WC2.28
D2Mit337	WC2.40
D2Mit34	WC2.21
D2Mit340	WC2.45
D2Mit341	WC2.49
D2Mit342	WC2.50
D2Mit343	WC2.51
D2Mit344	WC2.51
D2Mit345	WC2.54
D2Mit348	WC2.17
D2Mit349	WC2.23
D2Mit350	WC2.31
D2Mit351	WC2.31
D2Mit352.1	WC2.38
D2Mit353	WC2.43
D2Mit354	WC2.0
D2Mit355	WC2.0
D2Mit357	WC2.3
D2Mit358S	WC2.2
D2Mit359	WC2.2
D2Mit36	WC2.25
D2Mit360	WC2.6
D2Mit361	WC2.5
D2Mit362	WC2.8
D2Mit363.1	WC2.9
D2Mit364	WC2.9
D2Mit365	WC2.10
D2Mit366	WC2.12
D2Mit367	WC2.12
D2Mit369	WC2.13
D2Mit370	WC2.13
D2Mit372	WC2.15
D2Mit373	WC2.18
D2Mit375	WC2.16
D2Mit376	WC2.18
D2Mit377	WC2.22
D2Mit379	WC2.17
D2Mit38.1	WC2.25
D2Mit380	WC2.23
D2Mit382	WC2.27
D2Mit384	WC2.30
D2Mit385	WC2.28
D2Mit386	WC2.31
D2Mit387	WC2.29
D2Mit388	WC2.33
D2Mit389	WC2.33
D2Mit390	WC2.38
D2Mit391	WC2.39
D2Mit392	WC2.38
D2Mit393	WC2.39
D2Mit394.2	WC2.39
D2Mit395	WC2.40
D2Mit396	WC2.40
D2Mit397	WC2.40
D2Mit398	WC2.40
D2Mit4	WC2.2
D2Mit400	WC2.42
D2Mit401	WC2.44
D2Mit405	WC2.45
D2Mit407	WC2.45
D2Mit408	WC2.45
D2Mit409	WC2.48
D2Mit41	WC2.32
D2Mit410	WC2.49
D2Mit411	WC2.49
D2Mit412	WC2.49
D2Mit415	WC2.51
D2Mit416	WC2.9
D2Mit418	WC2.25
D2Mit419	WC2.27
D2Mit42	WC2.28
D2Mit420	WC2.40
D2Mit422	WC2.44
D2Mit424	WC2.46
D2Mit426	WC2.0
D2Mit427	WC2.4
D2Mit428	WC2.2
D2Mit429	WC2.3
D2Mit43	WC2.28
D2Mit430	WC2.4
D2Mit431.1	WC2.10
D2Mit432	WC2.16
D2Mit433	WC2.20
D2Mit434	WC2.23
D2Mit435	WC2.24
D2Mit436	WC2.27
D2Mit437	WC2.35
D2Mit439	WC2.32
D2Mit44	WC2.29
D2Mit440	WC2.30
D2Mit443	WC2.39
D2Mit444	WC2.40
D2Mit447	WC2.40
D2Mit448	WC2.41
D2Mit45	WC2.29
D2Mit450	WC2.46
D2Mit451	WC2.48
D2Mit453	WC2.49
D2Mit454	WC2.50
D2Mit456	WC2.51
D2Mit458	WC2.18
D2Mit46.2	WC2.41
D2Mit464	WC2.8
D2Mit465	WC2.8
D2Mit466	WC2.13
D2Mit467	WC2.15
D2Mit47.2	WC2.45
D2Mit471	WC2.19
D2Mit473	WC2.23
D2Mit475	WC2.26
D2Mit478.1	WC2.36
D2Mit479	WC2.32
D2Mit48	WC2.48
D2Mit480	WC2.37
D2Mit481	WC2.38
D2Mit482	WC2.37
D2Mit485	WC2.40
D2Mit486	WC2.40
D2Mit487	WC2.40
D2Mit488	WC2.41
D2Mit489.1	WC2.23
D2Mit49	WC2.50
D2Mit490	WC2.43
D2Mit492	WC2.45
D2Mit493	WC2.47
D2Mit494	WC2.48
D2Mit5	WC2.2
D2Mit50	WC2.50
D2Mit502	WC2.52
D2Mit503	WC2.54
D2Mit504	WC2.53
D2Mit505	WC2.54
D2Mit508	WC2.41
D2Mit51	WC2.50
D2Mit512	WC2.8
D2Mit513	WC2.44
D2Mit514	WC2.23
D2Mit515	WC2.15
D2Mit518	WC2.8
D2Mit522	WC2.12
D2Mit523	WC2.18
D2Mit56	WC2.23
D2Mit57	WC2.45
D2Mit58	WC2.37
D2Mit59	WC2.47
D2Mit6	WC2.9
D2Mit60	WC2.4
D2Mit62	WC2.41
D2Mit64	WC2.12
D2Mit65	WC2.12
D2Mit66	WC2.27
D2Mit69	WC2.9
D2Mit7	WC2.14
D2Mit70	WC2.41
D2Mit71	WC2.50
D2Mit72	WC2.18
D2Mit73	WC2.53
D2Mit74	WC2.55
D2Mit75	WC2.27
D2Mit78	WC2.38
D2Mit8	WC2.19
D2Mit80	WC2.9
D2Mit81	WC2.9
D2Mit82	WC2.9
D2Mit83	WC2.9
D2Mit84	WC2.12
D2Mit85	WC2.15
D2Mit87	WC2.12
D2Mit88	WC2.17
D2Mit89	WC2.20
D2Mit92	WC2.23
D2Mit93	WC2.24
D2Mit94	WC2.27
D2Mit97	WC2.33
D3Mit102	WC3.18
D3Mit104.3	WC3.31
D3Mit105	WC3.19
D3Mit110	WC3.30
D3Mit111	WC3.31
D3Mit113.2	WC3.34
D3Mit114	WC3.35
D3Mit115	WC3.35
D3Mit116	WC3.35
D3Mit119	WC3.7
D3Mit12	WC3.17
D3Mit120	WC3.8
D3Mit123	WC3.19
D3Mit124	WC3.20
D3Mit125	WC3.31
D3Mit127	WC3.33
D3Mit129	WC3.35
D3Mit133	WC3.5
D3Mit134.2	WC3.7
D3Mit135.1	WC3.8
D3Mit136	WC3.8
D3Mit139	WC3.13
D3Mit142	WC3.24
D3Mit144	WC3.20
D3Mit145	WC3.28
D3Mit146	WC3.31
D3Mit147	WC3.35
D3Mit148	WC3.35
D3Mit149	WC3.0
D3Mit150	WC3.0
D3Mit153	WC3.7
D3Mit156	WC3.14
D3Mit158	WC3.19
D3Mit16	WC3.31
D3Mit160.2	WC3.32
D3Mit164	WC3.0
D3Mit165	WC3.1
D3Mit169	WC3.2
D3Mit17	WC3.33
D3Mit174	WC3.12
D3Mit182	WC3.7
D3Mit183	WC3.7
D3Mit184	WC3.8
D3Mit186	WC3.12
D3Mit189	WC3.17
D3Mit190	WC3.9
D3Mit192	WC3.18
D3Mit193	WC3.31
D3Mit194	WC3.31
D3Mit196	WC3.32
D3Mit197	WC3.33
D3Mit198	WC3.33
D3Mit200	WC3.35
D3Mit201	WC3.35
D3Mit207	WC3.7
D3Mit211	WC3.13
D3Mit212	WC3.12
D3Mit213	WC3.16
D3Mit216	WC3.26
D3Mit217	WC3.29
D3Mit219	WC3.35
D3Mit221	WC3.0
D3Mit224	WC3.4
D3Mit226	WC3.3
D3Mit229	WC3.12
D3Mit230	WC3.12
D3Mit232	WC3.15
D3Mit233	WC3.16
D3Mit234	WC3.35
D3Mit236	WC3.1
D3Mit241	WC3.8
D3Mit243	WC3.9
D3Mit244.2	WC3.11
D3Mit246	WC3.17
D3Mit248	WC3.18
D3Mit249	WC3.22
D3Mit25.2	WC3.8
D3Mit250	WC3.23
D3Mit251	WC3.25
D3Mit252	WC3.26
D3Mit253	WC3.29
D3Mit255	WC3.31
D3Mit256	WC3.31
D3Mit257	WC3.33
D3Mit258	WC3.33
D3Mit259.1	WC3.34
D3Mit260	WC3.34
D3Mit261	WC3.35
D3Mit263	WC3.35
D3Mit264	WC3.0
D3Mit266	WC3.18
D3Mit274	WC3.7
D3Mit275	WC3.8
D3Mit280	WC3.8
D3Mit281.1	WC3.13
D3Mit283	WC3.17
D3Mit284	WC3.18
D3Mit285	WC3.19
D3Mit286	WC3.19
D3Mit287	WC3.20
D3Mit289.1	WC3.28
D3Mit290	WC3.30
D3Mit291	WC3.31
D3Mit292	WC3.34
D3Mit293	WC3.35
D3Mit294	WC3.35
D3Mit295	WC3.1
D3Mit297	WC3.8
D3Mit299.1	WC3.23
D3Mit300	WC3.22
D3Mit302	WC3.35
D3Mit303.2	WC3.35
D3Mit308	WC3.6
D3Mit31	WC3.35
D3Mit310	WC3.11
D3Mit314	WC3.22
D3Mit315	WC3.21
D3Mit317	WC3.27
D3Mit318	WC3.26
D3Mit319	WC3.28
D3Mit32	WC3.35
D3Mit320	WC3.33
D3Mit321	WC3.35
D3Mit322	WC3.35
D3Mit323.1	WC3.35
D3Mit332	WC3.2
D3Mit334	WC3.8
D3Mit337	WC3.10
D3Mit338	WC3.12
D3Mit339.1	WC3.12
D3Mit341	WC3.15
D3Mit342	WC3.17
D3Mit346	WC3.21
D3Mit347	WC3.27
D3Mit348	WC3.29
D3Mit350	WC3.31
D3Mit351	WC3.31
D3Mit353	WC3.0
D3Mit360	WC3.31
D3Mit362	WC3.7
D3Mit368	WC3.32
D3Mit38	WC3.33
D3Mit39	WC3.19
D3Mit4	WC3.5
D3Mit40	WC3.25
D3Mit41	WC3.16
D3Mit44	WC3.35
D3Mit45	WC3.35
D3Mit5	WC3.7
D3Mit51	WC3.10
D3Mit52.3	WC3.9
D3Mit56	WC3.19
D3Mit57	WC3.21
D3Mit58	WC3.35
D3Mit6	WC3.5
D3Mit60	WC3.0
D3Mit61	WC3.0
D3Mit63	WC3.5
D3Mit64	WC3.7
D3Mit65	WC3.7
D3Mit66	WC3.8
D3Mit67	WC3.8
D3Mit68	WC3.8
D3Mit69	WC3.8
D3Mit70	WC3.8
D3Mit71	WC3.8
D3Mit72	WC3.12
D3Mit73	WC3.13
D3Mit75	WC3.17
D3Mit77	WC3.18
D3Mit79	WC3.24
D3Mit82	WC3.30
D3Mit84	WC3.33
D3Mit86	WC3.35
D3Mit88	WC3.35
D3Mit89	WC3.35
D3Mit94	WC3.3
D3Mit95	WC3.4
D3Mit96	WC3.6
D3Mit97	WC3.12
D3Mit98	WC3.13
D3Mit99	WC3.14
D4Mit100	WC4.2
D4Mit101	WC4.1
D4Mit103	WC4.0
D4Mit107	WC4.10
D4Mit109	WC4.11
D4Mit11	WC4.38
D4Mit110	WC4.16
D4Mit112	WC4.15
D4Mit116	WC4.25
D4Mit117	WC4.28
D4Mit118	WC4.31
D4Mit12	WC4.37
D4Mit120	WC4.32
D4Mit122	WC4.35
D4Mit123	WC4.36
D4Mit124	WC4.37
D4Mit125	WC4.36
D4Mit126	WC4.46
D4Mit129	WC4.47
D4Mit13	WC4.46
D4Mit130	WC4.45
D4Mit132	WC4.23
D4Mit137	WC4.8
D4Mit138	WC4.13
D4Mit139	WC4.17
D4Mit140	WC4.17
D4Mit141	WC4.22
D4Mit142	WC4.22
D4Mit145	WC4.26
D4Mit147	WC4.37
D4Mit148	WC4.42
D4Mit15	WC4.27
D4Mit151	WC4.18
D4Mit152	WC4.25
D4Mit154.1	WC4.28
D4Mit159	WC4.45
D4Mit160	WC4.44
D4Mit163	WC4.16
D4Mit164	WC4.18
D4Mit167	WC4.31
D4Mit169	WC4.38
D4Mit17	WC4.20
D4Mit171	WC4.4
D4Mit173	WC4.25
D4Mit174	WC4.25
D4Mit175	WC4.30
D4Mit177	WC4.18
D4Mit178	WC4.21
D4Mit18	WC4.2
D4Mit180	WC4.49
D4Mit181	WC4.0
D4Mit183	WC4.13
D4Mit186	WC4.27
D4Mit187	WC4.30
D4Mit19	WC4.3
D4Mit190	WC4.48
D4Mit191	WC4.5
D4Mit192	WC4.5
D4Mit193	WC4.6
D4Mit194	WC4.10
D4Mit195	WC4.9
D4Mit197	WC4.17
D4Mit199	WC4.32
D4Mit200	WC4.35
D4Mit201.1	WC4.36
D4Mit203	WC4.40
D4Mit205	WC4.47
D4Mit206	WC4.47
D4Mit21	WC4.12
D4Mit210	WC4.5
D4Mit211	WC4.6
D4Mit213	WC4.11
D4Mit215	WC4.15
D4Mit217	WC4.18
D4Mit218	WC4.24
D4Mit219	WC4.31
D4Mit220	WC4.33
D4Mit223	WC4.39
D4Mit224	WC4.41
D4Mit227	WC4.1
D4Mit228	WC4.8
D4Mit229	WC4.14
D4Mit230	WC4.26
D4Mit231	WC4.28
D4Mit236	WC4.9
D4Mit237	WC4.12
D4Mit238	WC4.13
D4Mit239	WC4.14
D4Mit240	WC4.16
D4Mit243	WC4.18
D4Mit244	WC4.20
D4Mit246	WC4.29
D4Mit248	WC4.33
D4Mit25	WC4.24
D4Mit250	WC4.41
D4Mit251	WC4.42
D4Mit252	WC4.45
D4Mit257	WC4.11
D4Mit258	WC4.34
D4Mit259	WC4.44
D4Mit260	WC4.1
D4Mit261	WC4.3
D4Mit263	WC4.1
D4Mit267	WC4.6
D4Mit27	WC4.25
D4Mit272	WC4.16
D4Mit274	WC4.17
D4Mit275	WC4.19
D4Mit276	WC4.25
D4Mit277	WC4.30
D4Mit278	WC4.33
D4Mit279	WC4.37
D4Mit281	WC4.40
D4Mit284	WC4.45
D4Mit289	WC4.25
D4Mit290	WC4.29
D4Mit291	WC4.3
D4Mit292	WC4.1
D4Mit295	WC4.18
D4Mit296	WC4.22
D4Mit297	WC4.25
D4Mit298	WC4.25
D4Mit299	WC4.25
D4Mit300	WC4.25
D4Mit301	WC4.25
D4Mit303	WC4.29
D4Mit304	WC4.30
D4Mit307	WC4.33
D4Mit308	WC4.37
D4Mit309	WC4.40
D4Mit312	WC4.45
D4Mit316	WC4.0
D4Mit319	WC4.9
D4Mit32	WC4.45
D4Mit320	WC4.16
D4Mit322	WC4.19
D4Mit323	WC4.24
D4Mit325	WC4.24
D4Mit328	WC4.25
D4Mit329	WC4.27
D4Mit33	WC4.48
D4Mit330	WC4.30
D4Mit334	WC4.34
D4Mit336	WC4.39
D4Mit337	WC4.39
D4Mit340	WC4.44
D4Mit347	WC4.25
D4Mit349	WC4.25
D4Mit350	WC4.26
D4Mit351	WC4.35
D4Mit352	WC4.35
D4Mit353	WC4.47
D4Mit354	WC4.46
D4Mit356	WC4.49
D4Mit37	WC4.35
D4Mit39	WC4.7
D4Mit40	WC4.39
D4Mit41	WC4.7
D4Mit42	WC4.49
D4Mit44	WC4.18
D4Mit45	WC4.25
D4Mit47	WC4.38
D4Mit48	WC4.45
D4Mit5	WC4.13
D4Mit54	WC4.43
D4Mit58	WC4.29
D4Mit63	WC4.48
D4Mit65	WC4.45
D4Mit67	WC4.43
D4Mit68	WC4.42
D4Mit7	WC4.21
D4Mit71	WC4.41
D4Mit72	WC4.39
D4Mit74	WC4.31
D4Mit77	WC4.25
D4Mit79	WC4.25
D4Mit81	WC4.25
D4Mit82	WC4.24
D4Mit83	WC4.23
D4Mit85	WC4.19
D4Mit86	WC4.22
D4Mit87	WC4.20
D4Mit9	WC4.26
D4Mit92	WC4.9
D4Mit93	WC4.8
D4Mit97	WC4.5
D4Mit98	WC4.4
D500	WC14.15
D5Mit1	WC5.4
D5Mit10	WC5.32
D5Mit100	WC5.43
D5Mit101	WC5.43
D5Mit103	WC5.3
D5Mit105	WC5.14
D5Mit107	WC5.13
D5Mit108	WC5.13
D5Mit110	WC5.22
D5Mit111	WC5.24
D5Mit112	WC5.27
D5Mit113	WC5.26
D5Mit117	WC5.35
D5Mit119	WC5.40
D5Mit120	WC5.40
D5Mit122	WC5.43
D5Mit124	WC5.7
D5Mit125	WC5.7
D5Mit126	WC5.10
D5Mit13	WC5.11
D5Mit131	WC5.15
D5Mit133	WC5.17
D5Mit134	WC5.21
D5Mit136	WC5.37
D5Mit137	WC5.37
D5Mit139	WC5.38
D5Mit14	WC5.15
D5Mit140	WC5.39
D5Mit142	WC5.43
D5Mit143	WC5.43
D5Mit145	WC5.1
D5Mit146	WC5.1
D5Mit148	WC5.9
D5Mit15	WC5.22
D5Mit150	WC5.12
D5Mit151	WC5.24
D5Mit153	WC5.28
D5Mit154	WC5.28
D5Mit157	WC5.32
D5Mit158	WC5.37
D5Mit16.2	WC5.27
D5Mit161	WC5.39
D5Mit162	WC5.43
D5Mit163	WC5.39
D5Mit165	WC5.40
D5Mit166	WC5.40
D5Mit167	WC5.42
D5Mit168	WC5.42
D5Mit17	WC5.30
D5Mit171	WC5.16
D5Mit172	WC5.32
D5Mit174	WC5.39
D5Mit175	WC5.33
D5Mit177	WC5.35
D5Mit178	WC5.0
D5Mit18	WC5.29
D5Mit180	WC5.6
D5Mit182	WC5.11
D5Mit183	WC5.16
D5Mit185	WC5.23
D5Mit187	WC5.37
D5Mit189	WC5.39
D5Mit191	WC5.43
D5Mit192	WC5.43
D5Mit197	WC5.19
D5Mit198	WC18.13
D5Mit199	WC5.18
D5Mit201	WC5.25
D5Mit202	WC5.27
D5Mit203	WC5.26
D5Mit205	WC5.29
D5Mit206	WC5.28
D5Mit207	WC5.32
D5Mit208	WC5.32
D5Mit212	WC5.39
D5Mit213	WC5.39
D5Mit214	WC5.39
D5Mit216	WC5.40
D5Mit217	WC5.39
D5Mit218	WC5.40
D5Mit219	WC5.40
D5Mit221	WC5.42
D5Mit223	WC5.43
D5Mit224	WC5.43
D5Mit225	WC5.4
D5Mit227	WC5.5
D5Mit23	WC5.32
D5Mit231	WC5.13
D5Mit232	WC5.13
D5Mit233	WC5.16
D5Mit234	WC5.22
D5Mit235	WC5.25
D5Mit237	WC5.28
D5Mit238	WC5.32
D5Mit239	WC5.33
D5Mit241	WC5.36
D5Mit242	WC5.37
D5Mit243	WC5.39
D5Mit244	WC5.39
D5Mit246	WC5.40
D5Mit247	WC5.43
D5Mit249	WC5.2
D5Mit25	WC5.36
D5Mit251	WC5.7
D5Mit252	WC5.9
D5Mit253	WC5.11
D5Mit257	WC5.24
D5Mit258	WC5.22
D5Mit259	WC5.30
D5Mit263	WC5.40
D5Mit264	WC5.40
D5Mit267	WC5.12
D5Mit268	WC5.10
D5Mit269	WC5.20
D5Mit270	WC5.24
D5Mit280	WC5.39
D5Mit281	WC5.40
D5Mit282	WC5.40
D5Mit283	WC5.40
D5Mit285	WC5.43
D5Mit286.2	WC5.43
D5Mit289	WC5.39
D5Mit290	WC5.19
D5Mit291	WC5.39
D5Mit292	WC5.43
D5Mit296	WC5.9
D5Mit298	WC5.16
D5Mit299	WC5.15
D5Mit3	WC5.8
D5Mit300	WC5.17
D5Mit301	WC5.17
D5Mit305	WC5.21
D5Mit307	WC5.27
D5Mit308	WC5.27
D5Mit309	WC5.27
D5Mit31	WC5.41
D5Mit311	WC5.30
D5Mit312	WC5.31
D5Mit313	WC5.31
D5Mit314	WC5.34
D5Mit315	WC5.33
D5Mit316	WC5.34
D5Mit320	WC5.39
D5Mit321	WC5.39
D5Mit322	WC5.40
D5Mit323	WC5.40
D5Mit324	WC5.40
D5Mit325	WC5.40
D5Mit326	WC5.41
D5Mit328	WC5.43
D5Mit329	WC5.43
D5Mit330	WC5.2
D5Mit331	WC5.2
D5Mit333	WC5.9
D5Mit336	WC5.21
D5Mit337	WC5.27
D5Mit338	WC5.33
D5Mit339	WC5.39
D5Mit340	WC5.42
D5Mit343.2	WC5.2
D5Mit344	WC5.2
D5Mit345	WC5.2
D5Mit346.1	WC5.2
D5Mit347.2	WC5.0
D5Mit348	WC5.6
D5Mit349	WC5.6
D5Mit350	WC5.9
D5Mit353	WC5.12
D5Mit354	WC5.11
D5Mit355	WC5.21
D5Mit356.3	WC5.21
D5Mit362	WC5.28
D5Mit364	WC5.32
D5Mit367	WC5.37
D5Mit368	WC5.37
D5Mit370	WC5.39
D5Mit371	WC5.39
D5Mit372	WC5.40
D5Mit373	WC5.41
D5Mit374	WC5.42
D5Mit375	WC5.43
D5Mit376	WC5.43
D5Mit378	WC5.43
D5Mit379	WC16.11
D5Mit380	WC5.43
D5Mit382	WC5.33
D5Mit39	WC5.40
D5Mit391	WC5.13
D5Mit4	WC5.10
D5Mit40	WC5.30
D5Mit400	WC5.31
D5Mit402	WC5.32
D5Mit404	WC5.32
D5Mit408	WC5.37
D5Mit409	WC5.43
D5Mit41	WC5.32
D5Mit411	WC5.32
D5Mit416	WC5.43
D5Mit419	WC5.9
D5Mit423	WC5.31
D5Mit425	WC5.37
D5Mit426	WC5.38
D5Mit429	WC5.43
D5Mit44	WC5.8
D5Mit48	WC5.43
D5Mit49	WC5.2
D5Mit5	WC5.20
D5Mit51	WC5.43
D5Mit55	WC5.16
D5Mit57	WC5.16
D5Mit58	WC5.21
D5Mit59	WC5.39
D5Mit60	WC5.40
D5Mit62	WC5.43
D5Mit63	WC5.40
D5Mit66	WC5.9
D5Mit67	WC5.43
D5Mit68	WC5.37
D5Mit69	WC5.2
D5Mit70	WC5.0
D5Mit71	WC5.3
D5Mit72	WC5.5
D5Mit73	WC5.7
D5Mit74	WC5.6
D5Mit78	WC5.14
D5Mit79	WC5.13
D5Mit80	WC5.14
D5Mit82	WC5.18
D5Mit83	WC5.23
D5Mit88	WC5.32
D5Mit89	WC5.32
D5Mit9	WC5.32
D5Mit90	WC5.32
D5Mit91	WC5.32
D5Mit93	WC5.32
D5Mit95	WC5.38
D5Mit99	WC5.43
D6Mit1	WC6.2
D6Mit10	WC6.33
D6Mit101	WC6.30
D6Mit102	WC6.30
D6Mit104	WC6.33
D6Mit105	WC6.32
D6Mit106	WC6.32
D6Mit107	WC6.33
D6Mit108	WC6.33
D6Mit11	WC6.33
D6Mit110	WC6.36
D6Mit115	WC6.33
D6Mit116	WC6.6
D6Mit118	WC6.15
D6Mit119	WC6.16
D6Mit123	WC6.19
D6Mit125	WC6.20
D6Mit126	WC6.22
D6Mit127	WC6.25
D6Mit130	WC6.29
D6Mit131	WC6.29
D6Mit132	WC6.31
D6Mit134	WC6.33
D6Mit135	WC6.35
D6Mit136	WC6.38
D6Mit137	WC6.38
D6Mit140	WC6.9
D6Mit146	WC6.30
D6Mit149	WC6.32
D6Mit15	WC6.38
D6Mit151	WC6.34
D6Mit153	WC6.13
D6Mit154	WC6.11
D6Mit156	WC6.30
D6Mit157	WC6.4
D6Mit158	WC6.7
D6Mit16	WC6.21
D6Mit160	WC6.8
D6Mit164	WC6.27
D6Mit165	WC6.29
D6Mit167	WC6.1
D6Mit17	WC6.21
D6Mit170	WC6.6
D6Mit171	WC6.6
D6Mit174	WC6.20
D6Mit175	WC6.20
D6Mit176	WC6.25
D6Mit177	WC6.30
D6Mit178	WC6.30
D6Mit179	WC6.0
D6Mit181	WC6.9
D6Mit183	WC6.17
D6Mit184	WC6.17
D6Mit185	WC6.18
D6Mit186	WC6.22
D6Mit187	WC6.23
D6Mit189	WC6.27
D6Mit19	WC6.24
D6Mit190	WC6.28
D6Mit194	WC6.35
D6Mit196	WC6.36
D6Mit198	WC6.38
D6Mit200	WC6.38
D6Mit202.1	WC6.5
D6Mit203	WC6.3
D6Mit204	WC6.6
D6Mit205	WC6.8
D6Mit206	WC6.12
D6Mit208	WC6.23
D6Mit209	WC6.23
D6Mit210	WC6.26
D6Mit212	WC6.25
D6Mit213	WC6.28
D6Mit217	WC6.33
D6Mit218	WC6.35
D6Mit220.2	WC6.36
D6Mit222	WC6.13
D6Mit224	WC6.15
D6Mit226	WC6.28
D6Mit227	WC6.29
D6Mit23	WC6.33
D6Mit233	WC6.3
D6Mit238	WC6.12
D6Mit242	WC6.20
D6Mit244	WC6.21
D6Mit246	WC6.24
D6Mit247	WC6.27
D6Mit248	WC6.28
D6Mit249	WC6.30
D6Mit25	WC6.37
D6Mit251	WC6.32
D6Mit252	WC6.33
D6Mit254	WC6.33
D6Mit255	WC6.33
D6Mit26	WC6.39
D6Mit260	WC6.3
D6Mit262	WC6.23
D6Mit263	WC6.28
D6Mit264	WC6.4
D6Mit266	WC6.5
D6Mit268	WC6.12
D6Mit269	WC6.12
D6Mit270	WC6.12
D6Mit273	WC6.15
D6Mit275	WC6.16
D6Mit276	WC6.16
D6Mit277	WC6.18
D6Mit278	WC6.19
D6Mit279	WC6.20
D6Mit280	WC6.25
D6Mit282	WC6.25
D6Mit283	WC6.27
D6Mit285	WC6.30
D6Mit286	WC6.32
D6Mit287	WC6.33
D6Mit288	WC6.33
D6Mit29	WC6.28
D6Mit291	WC6.38
D6Mit295	WC6.38
D6Mit296	WC6.0
D6Mit297	WC6.7
D6Mit298	WC6.11
D6Mit299	WC6.20
D6Mit3	WC6.25
D6Mit300	WC6.34
D6Mit301	WC6.37
D6Mit302	WC6.38
D6Mit303	WC6.38
D6Mit304	WC6.39
D6Mit305.2	WC6.2
D6Mit306	WC6.5
D6Mit307	WC6.8
D6Mit308	WC6.9
D6Mit309	WC6.12
D6Mit310	WC6.12
D6Mit312	WC6.14
D6Mit316	WC6.19
D6Mit318	WC6.20
D6Mit32	WC6.30
D6Mit321	WC6.27
D6Mit323	WC6.28
D6Mit325	WC6.28
D6Mit326	WC6.31
D6Mit328	WC6.33
D6Mit329	WC6.33
D6Mit33	WC6.16
D6Mit330	WC6.33
D6Mit331	WC6.33
D6Mit332	WC6.33
D6Mit334	WC6.33
D6Mit335	WC6.35
D6Mit336	WC6.33
D6Mit337	WC6.35
D6Mit341	WC6.10
D6Mit346	WC6.1
D6Mit347	WC6.4
D6Mit349	WC6.14
D6Mit35	WC6.32
D6Mit351	WC6.15
D6Mit352	WC6.15
D6Mit355	WC6.17
D6Mit358	WC6.22
D6Mit359	WC6.23
D6Mit363	WC6.29
D6Mit364	WC6.28
D6Mit365	WC6.30
D6Mit366	WC6.33
D6Mit367	WC6.33
D6Mit368	WC6.35
D6Mit37	WC6.32
D6Mit378	WC6.33
D6Mit379	WC6.31
D6Mit380	WC6.6
D6Mit383	WC6.33
D6Mit386	WC6.26
D6Mit39	WC6.32
D6Mit4	WC6.25
D6Mit41	WC6.33
D6Mit42	WC6.15
D6Mit46	WC6.10
D6Mit47	WC6.10
D6Mit54	WC6.33
D6Mit55	WC6.33
D6Mit57	WC6.38
D6Mit61	WC6.35
D6Mit63	WC6.33
D6Mit64	WC6.32
D6Mit67	WC6.31
D6Mit68	WC6.31
D6Mit70	WC6.27
D6Mit71	WC6.22
D6Mit72	WC6.20
D6Mit73	WC6.19
D6Mit75	WC6.15
D6Mit77	WC6.12
D6Mit78	WC6.13
D6Mit79	WC6.12
D6Mit81	WC6.10
D6Mit82	WC6.10
D6Mit84	WC6.4
D6Mit89	WC6.8
D6Mit90	WC6.13
D6Mit91	WC6.11
D6Mit98	WC6.25
D7Mit1	WC7.1
D7Mit10	WC7.35
D7Mit100	WC7.30
D7Mit101	WC7.31
D7Mit102	WC7.31
D7Mit103	WC7.32
D7Mit104	WC7.32
D7Mit106	WC7.32
D7Mit107	WC7.32
D7Mit108	WC7.33
D7Mit109	WC7.35
D7Mit112	WC7.2
D7Mit113	WC7.3
D7Mit115	WC7.2
D7Mit118	WC7.9
D7Mit12	WC7.35
D7Mit121	WC7.13
D7Mit122	WC7.19
D7Mit124	WC7.28
D7Mit125	WC7.26
D7Mit127	WC7.28
D7Mit129	WC7.28
D7Mit13	WC7.34
D7Mit134	WC7.32
D7Mit135	WC7.32
D7Mit139	WC7.35
D7Mit14	WC7.37
D7Mit140	WC7.38
D7Mit143	WC7.1
D7Mit144	WC7.2
D7Mit145	WC7.12
D7Mit146	WC7.18
D7Mit147	WC7.18
D7Mit149	WC7.27
D7Mit151	WC7.33
D7Mit152	WC7.0
D7Mit154	WC7.1
D7Mit157	WC7.9
D7Mit158	WC7.10
D7Mit159	WC7.15
